mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
4.703285026550293,0.31920382628439226,0.32529535293579104,0.037740004958182964,1000,2,2,sqrt,20,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-5.286520893844235,-5.041935851330426,-4.404017290226547,-4.486161903944052,-4.825377953141259,-4.808802778497304,0.3319002227299035,38
4.818361902236939,0.8094779218396204,0.3517059326171875,0.1012430910078157,1000,5,2,sqrt,20,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 20}",-5.596257477573957,-5.404560488457114,-4.80024478867243,-4.728467454988758,-5.206555394758093,-5.147217120890071,0.3367862715504254,50
3.1422610759735106,0.7047626958453378,0.19429163932800292,0.038793571439778685,500,5,1,,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",-4.070809612961916,-4.476178116736388,-3.5546406612964083,-3.335838712909465,-4.16956847709562,-3.9214071161999597,0.4169134244639239,18
3.041191053390503,0.2587316676457809,0.20967645645141603,0.03511332391348751,500,2,2,,30,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 30}",-4.104658774637591,-4.353695219099817,-3.6652430498367523,-3.304023256406349,-4.256056754646331,-3.936735410925368,0.3944750006970359,22
6.47323169708252,0.15989051112929367,0.3802497386932373,0.06259324225695771,1000,2,1,,20,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 20}",-3.182282474392552,-3.9145438994764725,-2.631057583579228,-2.6500409718500997,-3.377646500618787,-3.151114285983428,0.4809670497750411,2
2.199464273452759,0.04638512155095112,0.18421573638916017,0.018790596410435116,500,5,1,sqrt,30,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-5.285657949083403,-5.1009559834847655,-4.542458601088902,-4.494696743794995,-4.842238092846327,-4.853201474059679,0.30776870217172037,40
3.024773359298706,0.2268450958700114,0.15915155410766602,0.045614862494629475,500,2,1,,40,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': 40}",-3.207238323941035,-3.8783743298586124,-2.662353244378656,-2.654120350645763,-3.3889962447481694,-3.158216498714447,0.46352627234804505,3
2.349540424346924,0.21354847643508476,0.13998942375183104,0.04817097623918797,500,5,2,,,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-4.311429311743595,-4.531616607747198,-3.8728287374125725,-3.4837276018320997,-4.438534189159859,-4.127627289579065,0.3932385440974589,28
1.8123053550720214,0.2733356466731742,0.10910935401916504,0.03326184315189667,500,5,1,sqrt,20,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",-5.285657949083403,-5.09687018411303,-4.5482583552771345,-4.494696743794995,-4.842238092846327,-4.853544265022977,0.3059505184056383,42
4.7652476787567135,0.6496058356925948,0.32506961822509767,0.12269119023668357,1000,5,2,,50,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 50}",-4.2815361047405505,-4.604358342604875,-3.8227710804101687,-3.476862611257714,-4.445033775145584,-4.126112382831778,0.4166840043703273,26
0.3361807346343994,0.02975513355381551,0.025969791412353515,0.002983168084426983,200,2,2,sqrt,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': None}",-5.42041309585508,-4.966675946572855,-4.380100574294877,-4.396478590513273,-4.767252647052381,-4.786184170857693,0.3878031304016815,32
4.376196432113647,0.831831997960712,0.3710948944091797,0.11337281865769858,1000,2,1,sqrt,30,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-3.8509885503429953,-3.654083060810319,-2.9982435210022365,-3.2209838255297325,-3.3592716466737294,-3.416714120871802,0.30386375994907644,11
4.892152452468872,0.4573026836930063,0.32863731384277345,0.09831606904100507,1000,5,2,,,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': None}",-4.2815361047405505,-4.604358342604875,-3.8227710804101687,-3.476862611257714,-4.445033775145584,-4.126112382831778,0.4166840043703273,26
1.0871938705444335,0.023626709491634233,0.0831871509552002,0.016477624106131315,200,2,1,sqrt,20,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 20}",-4.018310284139216,-3.7384259353502065,-2.9041803539987394,-3.2268591410773433,-3.413566788632672,-3.4602685006396356,0.38850410460800167,14
3.747531700134277,0.417936526921425,0.26919379234313967,0.09027063117533753,1000,5,1,sqrt,40,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40}",-5.337545733454578,-5.118517843448596,-4.46243346889196,-4.518902821457542,-4.865385108425003,-4.860556995135536,0.33743600369958565,43
2.204776477813721,0.2688359301812839,0.17441940307617188,0.025031177000143155,500,2,2,sqrt,40,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 40}",-5.29338697165552,-5.002025418671433,-4.4018552745492485,-4.478884161386454,-4.7928095410204214,-4.793792273456615,0.33037512047902695,35
2.603949689865112,0.14642578959027602,0.15744972229003906,0.03860854391446928,500,2,1,sqrt,50,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 50}",-3.8626653361387437,-3.65551834553194,-2.969551511238022,-3.182992753271869,-3.3283867090051573,-3.3998229310371464,0.32151366734799164,9
1.2532959938049317,0.03453979265543174,0.07073035240173339,0.010009644130506994,200,2,1,,,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None, 'max_depth': None}",-3.284104832533996,-3.9968667463066447,-2.6905547597133537,-2.6618712158860065,-3.461947199434852,-3.219068950774971,0.5015945546437092,6
2.137676811218262,0.1281751324676133,0.1618072509765625,0.024102128151120412,500,5,1,sqrt,40,"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 40}",-5.285657949083403,-5.1009559834847655,-4.542458601088902,-4.494696743794995,-4.842238092846327,-4.853201474059679,0.30776870217172037,40
5.216141223907471,0.29894631766276075,0.3207851409912109,0.047656200256518115,1000,2,2,,50,"{'n_estimators': 1000, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': None, 'max_depth': 50}",-4.081456403375479,-4.426073834851414,-3.6206930230759466,-3.298864048585764,-4.242520503934659,-3.9339215627646524,0.4148792255575258,20
4.255962133407593,0.3779505937265604,0.34310545921325686,0.07130464091356624,1000,5,1,sqrt,30,"{'n_estimators': 1000, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 30}",-5.337545733454578,-5.118517843448596,-4.46243346889196,-4.518902821457542,-4.865385108425003,-4.860556995135536,0.33743600369958565,43
