frequency,attack-angle,chord-length,free-stream-velocity,suction-side-displacement-thickness
1250,0.0,0.3048,39.6,0.00310138
8000,4.0,0.3048,71.3,0.00497773
400,7.3,0.2286,55.5,0.0111706
4000,3.3,0.1016,39.6,0.00245138
315,7.3,0.2286,71.3,0.0104404
3150,2.7,0.1524,39.6,0.00294804
2500,7.3,0.2286,55.5,0.0111706
1250,5.3,0.2286,71.3,0.0051942
400,12.7,0.0254,71.3,0.0121808
800,2.7,0.1524,71.3,0.00243851
1000,11.2,0.0508,71.3,0.014072
2000,4.0,0.2286,31.7,0.00509068
2000,0.0,0.0508,55.5,0.00076193
800,8.4,0.0508,71.3,0.00529514
2500,12.3,0.1016,71.3,0.0337792
5000,9.9,0.1524,55.5,0.0208438
400,15.4,0.0508,71.3,0.0264269
2000,9.9,0.1524,55.5,0.0208438
315,17.4,0.0254,55.5,0.0165706
6300,0.0,0.2286,71.3,0.00214345
2500,7.3,0.2286,31.7,0.0132672
1000,6.7,0.1016,31.7,0.00592927
1250,9.5,0.0254,39.6,0.00449821
5000,7.3,0.2286,71.3,0.0104404
315,19.7,0.0508,71.3,0.0341183
1000,3.0,0.3048,71.3,0.00425727
2500,4.8,0.0254,39.6,0.000907475
800,9.5,0.0254,71.3,0.00420654
800,0.0,0.1524,71.3,0.0015988
500,9.5,0.0254,55.5,0.0043284
1600,0.0,0.0508,39.6,0.000791822
1600,9.9,0.1524,39.6,0.0233328
3150,4.0,0.2286,71.3,0.00400603
1600,6.7,0.1016,55.5,0.0052139
5000,9.5,0.0254,31.7,0.00461377
630,2.0,0.2286,31.7,0.00372371
1000,1.5,0.3048,71.3,0.00336729
6300,5.4,0.1524,55.5,0.00433288
3150,4.8,0.0254,31.7,0.000930789
2500,3.3,0.1016,31.7,0.00251435
500,4.8,0.0254,31.7,0.000930789
5000,3.3,0.1016,71.3,0.00202822
5000,5.4,0.1524,71.3,0.00401199
8000,17.4,0.0254,71.3,0.016104
200,17.4,0.0254,55.5,0.0165706
5000,9.9,0.1524,71.3,0.0193001
500,8.4,0.0508,55.5,0.00544854
6300,3.3,0.1016,31.7,0.00251435
4000,7.3,0.2286,71.3,0.0104404
8000,1.5,0.3048,39.6,0.00392107
500,3.0,0.3048,31.7,0.00529514
6300,4.8,0.0254,31.7,0.000930789
6300,7.3,0.2286,55.5,0.0111706
2500,12.7,0.0254,71.3,0.0121808
1250,17.4,0.0254,71.3,0.016104
4000,2.0,0.2286,39.6,0.00346574
200,9.9,0.1524,71.3,0.0193001
200,11.2,0.0508,39.6,0.0150478
315,9.5,0.0254,31.7,0.00461377
1600,9.9,0.1524,55.5,0.0208438
4000,3.0,0.3048,31.7,0.00529514
630,4.0,0.2286,55.5,0.0042862
400,17.4,0.0254,71.3,0.016104
250,4.0,0.3048,71.3,0.00497773
5000,0.0,0.0254,55.5,0.00041229
6300,4.2,0.0508,39.6,0.00152689
800,0.0,0.1524,39.6,0.00193287
5000,3.0,0.3048,31.7,0.00529514
500,0.0,0.1524,55.5,0.00172668
5000,4.8,0.0254,31.7,0.000930789
630,2.0,0.2286,71.3,0.00293031
4000,8.4,0.0508,31.7,0.00580776
4000,2.0,0.2286,31.7,0.00372371
630,4.0,0.2286,31.7,0.00509068
3150,9.5,0.0254,71.3,0.00420654
630,17.4,0.0254,71.3,0.016104
1000,0.0,0.1524,31.7,0.00209405
5000,4.2,0.0508,71.3,0.00142788
3150,0.0,0.1016,39.6,0.00146332
1250,0.0,0.1524,55.5,0.00172668
1250,9.9,0.1524,39.6,0.0233328
1250,9.5,0.0254,71.3,0.00420654
3150,0.0,0.0508,39.6,0.000791822
630,8.4,0.0508,39.6,0.00566229
200,15.4,0.0508,31.7,0.0289853
500,5.4,0.1524,31.7,0.00525474
400,9.5,0.0254,31.7,0.00461377
2000,5.4,0.1524,55.5,0.00433288
5000,5.3,0.2286,39.6,0.00614329
1250,5.4,0.1524,39.6,0.00485029
6300,9.9,0.1524,31.7,0.0252785
400,4.0,0.2286,31.7,0.00509068
2000,15.4,0.0508,55.5,0.0271925
4000,4.2,0.0508,71.3,0.00142788
8000,4.8,0.0254,31.7,0.000930789
250,7.3,0.2286,55.5,0.0111706
6300,0.0,0.3048,39.6,0.00310138
800,0.0,0.3048,39.6,0.00310138
1600,2.0,0.2286,55.5,0.00313525
2500,15.4,0.0508,31.7,0.0289853
2500,3.0,0.3048,31.7,0.00529514
1250,4.0,0.2286,39.6,0.00473801
2500,17.4,0.0254,55.5,0.0165706
800,11.2,0.0508,39.6,0.0150478
1600,8.9,0.1016,71.3,0.0103088
1000,0.0,0.1016,39.6,0.00146332
1000,12.3,0.1016,71.3,0.0337792
4000,5.4,0.1524,31.7,0.00525474
1600,0.0,0.3048,71.3,0.00266337
8000,3.0,0.3048,55.5,0.00452492
4000,0.0,0.1016,31.7,0.00150092
800,0.0,0.1016,71.3,0.00121072
630,2.7,0.1524,71.3,0.00243851
800,4.8,0.0254,39.6,0.000907475
630,9.5,0.0254,71.3,0.00420654
1600,5.4,0.1524,39.6,0.00485029
4000,7.3,0.2286,31.7,0.0132672
3150,4.0,0.2286,39.6,0.00473801
800,3.3,0.1016,71.3,0.00202822
250,4.0,0.2286,31.7,0.00509068
6300,0.0,0.1016,39.6,0.00146332
5000,0.0,0.1524,71.3,0.0015988
2500,0.0,0.3048,71.3,0.00266337
630,3.0,0.3048,55.5,0.00452492
6300,15.4,0.0508,31.7,0.0289853
2000,6.7,0.1016,39.6,0.00578076
5000,5.4,0.1524,39.6,0.00485029
2000,3.3,0.1016,55.5,0.002211
6300,4.8,0.0254,71.3,0.000848633
6300,7.2,0.1524,71.3,0.00752039
6300,0.0,0.1524,39.6,0.00193287
1250,9.9,0.1524,31.7,0.0252785
1250,2.0,0.2286,71.3,0.00293031
315,15.4,0.0508,71.3,0.0264269
2000,7.2,0.1524,39.6,0.00909175
1250,4.2,0.0508,39.6,0.00152689
